Name,Stock Count,Market Cap,atag,link
Retail - Consumer Electronics,3,$0.042T,/stocks/industry/156/retail---consumer-electronics,https://www.macrotrends.net//stocks/industry/156/retail---consumer-electronics
Semiconductor - General,1,$0.042T,/stocks/industry/241/semiconductor---general,https://www.macrotrends.net//stocks/industry/241/semiconductor---general
Building Products - Air Conditioning & Heating,5,$0.041T,/stocks/industry/22/building-products---air-conditioning-heating,https://www.macrotrends.net//stocks/industry/22/building-products---air-conditioning-heating
Insurance - Accident & Health,3,$0.041T,/stocks/industry/85/insurance---accident-health,https://www.macrotrends.net//stocks/industry/85/insurance---accident-health
Outsourcing Services,7,$0.039T,/stocks/industry/281/outsourcing-services,https://www.macrotrends.net//stocks/industry/281/outsourcing-services
Food Items - Confectionery,2,$0.038T,/stocks/industry/72/food-items---confectionery,https://www.macrotrends.net//stocks/industry/72/food-items---confectionery
Retail and Wholesale Auto & Truck,6,$0.038T,/stocks/industry/210/retail-and-wholesale-auto-truck,https://www.macrotrends.net//stocks/industry/210/retail-and-wholesale-auto-truck
Retail - Miscellaneous & Diversified,9,$0.036T,/stocks/industry/165/retail---miscellaneous-diversified,https://www.macrotrends.net//stocks/industry/165/retail---miscellaneous-diversified
Computers - Minicomputers,2,$0.036T,/stocks/industry/199/computers---minicomputers,https://www.macrotrends.net//stocks/industry/199/computers---minicomputers
Leisure & Recreation Products,8,$0.035T,/stocks/industry/91/leisure-recreation-products,https://www.macrotrends.net//stocks/industry/91/leisure-recreation-products
Oil Refining & Marketing MLP,10,$0.035T,/stocks/industry/220/oil-refining-marketing-mlp,https://www.macrotrends.net//stocks/industry/220/oil-refining-marketing-mlp
Machine Tools & Related Products,3,$0.035T,/stocks/industry/94/machine-tools-related-products,https://www.macrotrends.net//stocks/industry/94/machine-tools-related-products
Finance - Savings & Loans,6,$0.035T,/stocks/industry/67/finance---savings-loans,https://www.macrotrends.net//stocks/industry/67/finance---savings-loans
Industrial Automation & Robotics,1,$0.035T,/stocks/industry/82/industrial-automation-robotics,https://www.macrotrends.net//stocks/industry/82/industrial-automation-robotics
Electrical Measuring Instruments,3,$0.034T,/stocks/industry/51/electrical-measuring-instruments,https://www.macrotrends.net//stocks/industry/51/electrical-measuring-instruments
Internal Combustion Engines,1,$0.033T,/stocks/industry/58/internal-combustion-engines,https://www.macrotrends.net//stocks/industry/58/internal-combustion-engines
Medical - Generic Drugs,3,$0.031T,/stocks/industry/107/medical---generic-drugs,https://www.macrotrends.net//stocks/industry/107/medical---generic-drugs
