ticker,comp_name,full_url,mt_name,industry,country,link,url
VTOL,Bristow Group,https://www.macrotrends.net/stocks/charts/VTOL/bristow-group/,bristow-group,Transportation - Airlines,United States,<a href='https://www.macrotrends.net/stocks/charts/VTOL/bristow-group/stock-price-history'>Bristow Group (VTOL)</a>,https://www.macrotrends.net/stocks/charts/VTOL/bristow-group/
CAAP,Corporacion America Airports S.A,https://www.macrotrends.net/stocks/charts/CAAP/corporacion-america-airports-sa/,corporacion-america-airports-sa,Transportation - Airlines,Luxembourg,<a href='https://www.macrotrends.net/stocks/charts/CAAP/corporacion-america-airports-sa/stock-price-history'>Corporacion America Airports S.A (CAAP)</a>,https://www.macrotrends.net/stocks/charts/CAAP/corporacion-america-airports-sa/
RELX,RELX,https://www.macrotrends.net/stocks/charts/RELX/relx/,relx,Internet Content,United Kingdom,<a href='https://www.macrotrends.net/stocks/charts/RELX/relx/stock-price-history'>RELX (RELX)</a>,https://www.macrotrends.net/stocks/charts/RELX/relx/
TME,Tencent Music Entertainment Group,https://www.macrotrends.net/stocks/charts/TME/tencent-music-entertainment-group/,tencent-music-entertainment-group,Internet Content,China,<a href='https://www.macrotrends.net/stocks/charts/TME/tencent-music-entertainment-group/stock-price-history'>Tencent Music Entertainment Group (TME)</a>,https://www.macrotrends.net/stocks/charts/TME/tencent-music-entertainment-group/
IS,IronSource,https://www.macrotrends.net/stocks/charts/IS/ironsource/,ironsource,Internet Content,Israel,<a href='https://www.macrotrends.net/stocks/charts/IS/ironsource/stock-price-history'>IronSource (IS)</a>,https://www.macrotrends.net/stocks/charts/IS/ironsource/
ZH,Zhihu,https://www.macrotrends.net/stocks/charts/ZH/zhihu/,zhihu,Internet Content,China,<a href='https://www.macrotrends.net/stocks/charts/ZH/zhihu/stock-price-history'>Zhihu (ZH)</a>,https://www.macrotrends.net/stocks/charts/ZH/zhihu/
SSTK,Shutterstock,https://www.macrotrends.net/stocks/charts/SSTK/shutterstock/,shutterstock,Internet Content,United States,<a href='https://www.macrotrends.net/stocks/charts/SSTK/shutterstock/stock-price-history'>Shutterstock (SSTK)</a>,https://www.macrotrends.net/stocks/charts/SSTK/shutterstock/
GENI,Genius Sports,https://www.macrotrends.net/stocks/charts/GENI/genius-sports/,genius-sports,Internet Content,United Kingdom,<a href='https://www.macrotrends.net/stocks/charts/GENI/genius-sports/stock-price-history'>Genius Sports (GENI)</a>,https://www.macrotrends.net/stocks/charts/GENI/genius-sports/
YELP,Yelp,https://www.macrotrends.net/stocks/charts/YELP/yelp/,yelp,Internet Content,United States,<a href='https://www.macrotrends.net/stocks/charts/YELP/yelp/stock-price-history'>Yelp (YELP)</a>,https://www.macrotrends.net/stocks/charts/YELP/yelp/
SMWB,Similarweb,https://www.macrotrends.net/stocks/charts/SMWB/similarweb/,similarweb,Internet Content,Israel,<a href='https://www.macrotrends.net/stocks/charts/SMWB/similarweb/stock-price-history'>Similarweb (SMWB)</a>,https://www.macrotrends.net/stocks/charts/SMWB/similarweb/
DHX,DHI,https://www.macrotrends.net/stocks/charts/DHX/dhi/,dhi,Internet Content,United States,<a href='https://www.macrotrends.net/stocks/charts/DHX/dhi/stock-price-history'>DHI (DHX)</a>,https://www.macrotrends.net/stocks/charts/DHX/dhi/
EPD,Enterprise Products Partners,https://www.macrotrends.net/stocks/charts/EPD/enterprise-products-partners/,enterprise-products-partners,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/EPD/enterprise-products-partners/stock-price-history'>Enterprise Products Partners (EPD)</a>,https://www.macrotrends.net/stocks/charts/EPD/enterprise-products-partners/
ET,Energy Transfer LP,https://www.macrotrends.net/stocks/charts/ET/energy-transfer-lp/,energy-transfer-lp,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/ET/energy-transfer-lp/stock-price-history'>Energy Transfer LP (ET)</a>,https://www.macrotrends.net/stocks/charts/ET/energy-transfer-lp/
MMP,Magellan Midstream Partners,https://www.macrotrends.net/stocks/charts/MMP/magellan-midstream-partners/,magellan-midstream-partners,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/MMP/magellan-midstream-partners/stock-price-history'>Magellan Midstream Partners (MMP)</a>,https://www.macrotrends.net/stocks/charts/MMP/magellan-midstream-partners/
SHLX,Shell Midstream Partners,https://www.macrotrends.net/stocks/charts/SHLX/shell-midstream-partners/,shell-midstream-partners,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/SHLX/shell-midstream-partners/stock-price-history'>Shell Midstream Partners (SHLX)</a>,https://www.macrotrends.net/stocks/charts/SHLX/shell-midstream-partners/
