date,ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,revenue,gross_prof,operating_income,ebitda,net_income,eps,shares_outstanding,total_assets,cash_on_hand,long_term_debt,total_liabilities,share_holder_equity,date_asdate,price_date,Close,price_date_asdate,days_between_financials_price
2009-02-28,NKE,4440.8,2492.3,1948.5,,1352.1,,1753.4,195.0996,40.3,235.4,-8.4,243.8,,243.8,,243.8,676.2996,195.0996,1936.0,1952.4,0.125,0.125,2604.2,2892.4,2466.6,970.9,,8998.6,1893.9,,647.9,,3257.1,12255.7,2858.2,437.8,,1186.7,4044.9,2.8,5231.5,191.3,,8210.8,12255.7,1145.3,656.1,-143.3,512.8,-373.8,-182.5,0.0,-55.0,-995.7,662.4,-320.7,0.0,0.0,-65.5,0.0,-65.5,184.5,-201.7,-5.1,171.8,166.7,-500.2,-500.2,-345.6,22.0,-657.1,-241.8,127.0,-345.6,3.1483,0.0506,0.0975,43.8772,4.3933,4.3933,,5.3008,5.49,0.3623,1.0104,1.5353,58.6192,2.9693,3.2236,1.9893,2.819,4.2376,0.3393,0.17500000000000002,4441.0,1949.0,195.0,676.0,244.0,0.13,1952.0,12256.0,2604.0,438.0,4045.0,8211.0,2009-02-28,2009-02-27,10.3825,2009-02-27,1 days
2009-03-31,MSFT,13648.0,2814.0,10834.0,2212.0,4184.0,,6396.0,4438.0,-388.0,4050.0,1073.0,2977.0,,2977.0,,2977.0,5102.0,4438.0,8891.0,8904.0,0.33,0.33,25340.0,9182.0,657.0,,3619.0,40724.0,7112.0,4112.0,14310.0,1639.0,28129.0,68853.0,23823.0,,6699.0,8087.0,31910.0,61896.0,-24953.0,,,36943.0,68853.0,11524.0,1881.0,-636.0,1245.0,4035.0,0.0,0.0,-1608.0,2427.0,15196.0,-2252.0,0.0,-827.0,0.0,-3754.0,-3754.0,-1080.0,-7913.0,328.0,1667.0,1995.0,-8895.0,-8895.0,-3310.0,48.0,-10162.0,-3054.0,1292.0,-3310.0,1.7094,,0.0541,79.3816,32.5176,32.5176,,29.6747,21.8127,0.1982,4.2831,1.4864,60.5495,8.0584,13.1534,4.3237,8.0584,4.1518,1.7066,1.4537,13648.0,10834.0,4438.0,5102.0,2977.0,0.33,8904.0,68853.0,25340.0,,31910.0,36943.0,2009-03-31,2009-03-31,18.370001,2009-03-31,0 days
2009-03-31,QCOM,2455.0,738.0,1717.0,604.0,375.0,-748.0,1727.0,-10.0,-91.0,-101.0,188.0,-289.0,,-289.0,,-289.0,144.0,-10.0,1651.0,1651.0,-0.18,-0.18,9415.0,804.0,409.0,,324.0,11232.0,2282.0,4560.0,4625.0,444.0,12852.0,24084.0,2257.0,,1115.0,4714.0,6971.0,,10241.0,-776.0,,17113.0,24084.0,52.0,306.0,976.0,1282.0,2824.0,113.0,-103.0,-114.0,3430.0,4764.0,-468.0,0.0,0.0,173.0,-1875.0,-1702.0,323.0,-1847.0,0.0,-173.0,-173.0,-184.0,-184.0,-528.0,29.0,-856.0,2052.0,285.0,-528.0,4.9765,,,69.9389,-0.4073,-0.4073,,-4.1141,-11.7719,0.1019,1.8044,3.0535,29.4745,-1.6888,-2.3142,-1.2,-1.6888,10.3527,2.8855,2.6021,2455.0,1717.0,-10.0,144.0,-289.0,-0.18,1651.0,24084.0,9415.0,,6971.0,17113.0,2009-03-31,2009-03-31,38.91,2009-03-31,0 days
2009-03-31,TRV,5735.0,3190.0,2545.0,,1726.0,,1726.0,819.0,-92.0,727.0,65.0,662.0,,662.0,,662.0,1969.0,819.0,584.6,590.4,1.12,1.11,245.0,27733.0,,,,27978.0,,72933.0,4024.0,2156.0,82489.0,110467.0,72618.0,6039.0,5313.0,11352.0,83970.0,19290.0,13805.0,-232.0,,26497.0,110467.0,662.0,1150.0,430.0,1580.0,123.0,,64.0,-1321.0,-1134.0,813.0,-5.0,,,-451.0,-441.0,-892.0,314.0,-583.0,-141.0,,-141.0,-17.0,-17.0,-178.0,1.0,-335.0,-105.0,,-178.0,,0.1856,0.2279,,14.2807,14.2807,,12.6766,11.5432,0.0519,,,,2.5066,2.9458,0.5993,2.0347,45.2708,1.377,1.3686,5735.0,2545.0,819.0,1969.0,662.0,1.11,590.0,110467.0,245.0,6039.0,83970.0,26497.0,2009-03-31,2009-03-31,40.639999,2009-03-31,0 days
2009-03-31,ARGO,369.5,331.1,38.4,,,,0.0,38.4,-7.0,31.4,4.4,27.0,,27.0,,27.0,41.0,38.4,46.9022,47.0629,0.5749,0.5749,10.8,1562.1,,,,1572.9,,4085.4,258.1,328.1,4906.6,6479.5,4574.9,311.4,208.9,520.3,5095.2,30.8,682.2,-20.2,,1384.3,6479.5,27.0,2.6,10.3,12.9,-25.9,,45.9,-36.5,-22.2,17.7,-3.4,,,-49.0,24.3,-24.7,6.7,-21.4,,9.1,9.1,,,,0.2,9.3,5.6,2.2,,,0.1836,0.225,,10.3924,10.3924,,8.498,7.3072,0.057,,,,1.9504,2.3974,0.4167,1.5923,29.3642,0.3761,0.3038,370.0,38.0,38.0,41.0,27.0,0.58,47.0,6480.0,11.0,311.0,5095.0,1384.0,2009-03-31,2009-03-31,19.684448,2009-03-31,0 days
2009-03-31,MCY,786.958,591.823,195.135,,,-53.486,53.486,141.649,-1.546,140.103,43.45,96.653,,96.653,,96.653,150.51,141.649,54.767,55.091,1.76,1.75,178.844,348.942,,,,527.786,198.675,2905.217,114.332,34.291,3604.176,4131.962,2092.835,275.888,203.895,479.783,2572.618,71.827,1488.385,-0.868,,1559.344,4131.962,96.653,8.861,-81.152,-72.291,-7.625,3.209,21.651,-34.123,26.496,50.858,-9.532,,-115.048,137.03,-7.819,129.211,-0.509,4.122,120.0,,120.0,0.233,0.233,-31.767,0.002,88.468,143.448,0.164,-31.767,,0.1503,0.1769,,17.9996,17.9996,,17.8031,12.2819,0.1905,,,,6.1983,6.6887,2.3392,5.2665,28.4708,0.9232,0.7501,787.0,195.0,142.0,151.0,97.0,1.75,55.0,4132.0,179.0,276.0,2573.0,1559.0,2009-03-31,2009-03-31,29.700001,2009-03-31,0 days
2009-03-31,WTM,966.5,840.8,125.7,,58.4,,58.4001,67.2999,-18.9,48.4,12.3,36.1,,37.0,,30.3,67.2999,67.2999,8.766,8.826,3.44,3.44,448.8,4059.8,,,,4508.6,,9074.7,,1071.4,11131.9,15640.5,9326.801,1349.2,1192.7,2831.4,12158.2,8.9,1776.3,-341.8,,3482.3,15640.5,37.0,,23.3,23.3,-114.4,,93.3,-71.7,-92.8,-32.5,-2.7,,,87.6,-7.8999,79.7001,68.6,145.6,-10.1,,-10.1,,,-13.8,46.9,23.0,134.2,,-13.8,,0.2793,0.3874,,6.9633,6.9633,,5.0078,3.135,0.0618,,,,1.0625,1.0625,0.2366,0.7658,393.3025,-3.6823,-3.9882,967.0,126.0,67.0,67.0,30.0,3.44,9.0,15641.0,449.0,1349.0,12158.0,3482.0,2009-03-31,2009-03-31,171.910004,2009-03-31,0 days
2009-03-31,PGR,3468.2,3050.6,417.5999,,,,0.0,417.5999,-40.9,376.7,144.2,232.5,,232.5,,232.5,498.0999,417.5999,668.6,672.0,0.35,0.35,134.5,2801.3,,,,2935.8,997.5,12881.3,,973.1,15279.3,18215.1,11735.9,2175.9,,2175.9,13911.8,680.7,2925.0,-203.7,,4303.3,18215.1,232.5,80.5,82.7,163.2,-104.2,,219.2,-93.9,145.7,541.4,-21.0,,,-140.3,-10.5,-150.8,-235.6,-407.4,,,,-1.1,-1.1,,-1.3,-2.4,131.6,9.3,0.0,,0.3358,0.5056,,12.0408,12.0408,,10.8615,6.7038,0.1904,,,,5.4028,5.4028,1.2764,3.5884,6.3219,0.8057,0.7744,3468.0,418.0,418.0,498.0,233.0,0.35,672.0,18215.0,135.0,2176.0,13912.0,4303.0,2009-03-31,2009-03-31,13.44,2009-03-31,0 days
2009-03-31,CB,3575.0,2396.0,1179.0,,420.0,-14.0,434.0,745.0,-53.0,692.0,125.0,567.0,,567.0,,567.0,747.0,745.0,335.475,336.116,1.69,1.69,844.0,17910.0,,,,18754.0,,42364.0,3735.0,5054.0,54373.0,73127.0,53337.0,2802.0,1796.0,5072.0,58409.0,10808.0,641.0,-2146.0,-3.0,14718.0,73127.0,567.0,2.0,101.0,103.0,-435.0,,416.0,-109.0,-74.0,562.0,,,,,-431.0,-431.0,-65.0,-496.0,,,,6.0,6.0,-91.0,,-85.0,-23.0,,-91.0,,0.1599,0.222,,20.8392,20.8392,,19.3566,15.8601,0.0489,,,,3.8524,5.1625,0.7754,3.2363,43.8178,1.672,1.672,3575.0,1179.0,745.0,747.0,567.0,1.69,336.0,73127.0,844.0,2802.0,58409.0,14718.0,2009-03-31,2009-03-31,40.400002,2009-03-31,0 days
2009-03-31,HDB,1254.89,245.34,1009.55,,498.64,,636.34,373.2099,,-79.04,-19.18,-59.86,,125.815,0.0,125.815,,,1423.89,1423.89,0.088,0.088,4562.7,,,,,24215.7,,9988.3,1723.4,3390.3,15102.0,39723.6,33479.2,1328.9,,1328.9,34808.1,83.6,685.0,,630.3,4915.5,39723.6,296.9,292.8,0.0,292.8,0.0,0.0,0.0,0.0,1561.7,2480.4,-133.0,0.0,404.3,0.0,0.0,-4474.5,-378.2,-4581.4,0.0,-2021.5,397.7,0.0,94.4,-69.4,4171.9,2573.1,472.1,0.0,0.0,,0.2128,0.3793,,,,,8.8483,-14.0846,-0.0225,,,,2.5596,3.9414,0.3167,2.0148,,1.742,1.6486,1255.0,1010.0,373.0,,126.0,0.09,1424.0,39724.0,4563.0,1329.0,34808.0,4916.0,2009-03-31,2009-03-31,6.093,2009-03-31,0 days
2009-03-31,NFLX,394.098,259.268,134.83,24.2,75.256,1.097,98.359,36.471,0.94,37.411,15.048,22.363,,22.363,,22.363,95.144,36.471,411.138,424.963,0.0543,0.0529,286.489,,,22.167,50.682,364.88,123.817,,,116.874,263.798,628.678,226.713,37.656,17.997,55.653,282.366,0.063,130.815,-0.447,,346.312,628.678,22.363,58.673,-4.357,54.316,,,8.572,-22.563,-11.046,65.633,-6.572,-46.699,,-14.121,,-14.121,2.724,-64.668,-0.269,,-0.269,-29.13,-29.13,,3.684,-25.715,-24.75,3.132,,1.6094,0.0981,0.1122,34.2123,9.2543,9.2543,,9.4928,5.6745,0.6269,,,,6.4575,6.4575,3.5571,5.8242,0.8458,0.1544,0.139,394.0,135.0,36.0,95.0,22.0,0.05,425.0,629.0,286.0,38.0,282.0,346.0,2009-03-31,2009-03-31,6.131429,2009-03-31,0 days
2009-03-31,DIS,8087.0,6800.0,1287.0,,,,305.0,982.0,19.0,1001.0,348.0,653.0,,653.0,,613.0,1388.0,982.0,1855.0,1868.0,0.33,0.33,3369.0,4939.0,1233.0,,669.0,11977.0,14795.0,1564.0,24652.0,1998.0,51055.0,63032.0,10186.0,12541.0,3646.0,19574.0,29760.0,26693.0,29191.0,47.0,,33272.0,63032.0,1504.0,802.0,229.0,1031.0,454.0,-74.0,0.0,-569.0,-396.0,2067.0,-749.0,0.0,-146.0,0.0,185.0,185.0,-3.0,-713.0,1013.0,-919.0,94.0,-432.0,-432.0,-648.0,0.0,-986.0,368.0,225.0,-648.0,1.1758,0.2737,0.4427,15.9144,12.143,12.143,,12.3779,7.5801,0.1283,5.515,1.6374,54.966,1.9626,7.5754,1.036,1.4254,18.2843,1.1065,0.7056,8087.0,1287.0,982.0,1388.0,613.0,0.33,1868.0,63032.0,3369.0,12541.0,29760.0,33272.0,2009-03-31,2009-03-31,18.16,2009-03-31,0 days
2009-03-31,BRK.A,22784.0,7870.0,14914.0,,1963.0,-14313.0,16276.0,-1362.0,-1181.0,-2543.0,-1014.0,-1529.0,,-1446.0,,-1534.0,-604.0,-1362.0,2325.774,2325.774,-0.6596,-0.6596,25551.0,29720.0,,,,55271.0,45869.0,95875.0,33779.0,29748.0,205271.0,260542.0,131744.0,,15432.0,21879.0,153623.0,27090.0,76638.0,-930.0,,106919.0,260542.0,-1446.0,758.0,3336.0,4094.0,291.0,,,2660.0,1994.0,4642.0,-1373.0,,-530.0,,-1339.0,-1339.0,-2185.0,-5427.0,1150.0,1.0,1151.0,,,,-226.0,925.0,12.0,,,,,0.3537,,-5.9779,-5.9779,,-11.1613,-6.7328,0.0874,,,,-1.3524,-1.977,-0.555,-1.3524,134.6248,1.9959,1.4056,22784.0,14914.0,-1362.0,-604.0,-1534.0,-0.66,2326.0,260542.0,25551.0,,153623.0,106919.0,2009-03-31,,,,
